date;value;res;value_filt
2013-12-30;3457.6;;3457.6126136834746
2013-12-31;3417.1;-40.5;3451.526705960451
2014-01-01;3417.1;0.0;3446.605409226233
2014-01-02;3417.1;0.0;3443.8850544164666
2014-01-03;3417.1;0.0;3444.156061660115
2014-01-04;3417.1;0.0;3447.8706432783556
2014-01-05;3417.1;0.0;3455.0840684339414
2014-01-06;3320.8;-96.29999999999973;3465.435568060431
2014-01-07;3320.8;0.0;3478.171220647789
2014-01-08;3630.3;309.5;3492.2072114727935
2014-01-09;3618.8;-11.5;3506.228072501671
2014-01-10;3560.5;-58.30000000000018;3518.811239464136
2014-01-11;3560.5;0.0;3528.566803824108
2014-01-12;3560.5;0.0;3534.2799055113587
2014-01-13;3681.6;121.09999999999991;3535.042921584396
2014-01-14;3603.8;-77.79999999999973;3530.3654626487005
2014-01-15;3300.7;-303.10000000000036;3520.2520947221096
2014-01-16;3397.9;97.20000000000027;3505.2404705097574
2014-01-17;3513.7;115.79999999999973;3486.395922441206
2014-01-18;3513.7;0.0;3465.2622384668066
2014-01-19;3513.7;0.0;3443.7719927188637
2014-01-20;3355.3;-158.39999999999964;3424.123129904735
2014-01-21;3404.1;48.79999999999973;3408.631233158994
2014-01-22;3480.2;76.09999999999991;3399.568824168055
2014-01-23;3649.6;169.4000000000001;3399.0040072925162
2014-01-24;3330.5;-319.0999999999999;3408.6507137636304
2014-01-25;3330.5;0.0;3429.741752129391
2014-01-26;3330.5;0.0;3462.933936148915
2014-01-27;3306.0;-24.5;3508.251926436532
2014-01-28;3640.0;334.0;3565.074332314342
2014-01-29;3282.8;-357.1999999999998;3632.16235738501
2014-01-30;3355.3;72.5;3707.7281267659037
2014-01-31;4333.6;978.3000000000002;3789.5370741285174
2014-02-01;4333.6;0.0;3875.0366096651696
2014-02-02;4333.6;0.0;3961.501878070513
2014-02-03;4003.2;-330.40000000000055;4046.18880272646
2014-02-04;4021.8;18.600000000000364;4126.484764252112
2014-02-05;3885.9;-135.9000000000001;4200.048068767784
2014-02-06;4181.1;295.2000000000003;4264.928662538159
2014-02-07;4331.9;150.79999999999927;4319.66416258272
2014-02-08;4331.9;0.0;4363.34702322124
2014-02-09;4331.9;0.0;4395.6604043521065
2014-02-10;4232.3;-99.59999999999945;4416.881952417737
2014-02-11;4357.6;125.30000000000018;4427.856201551557
2014-02-12;4504.7;147.09999999999945;4429.937642548201
2014-02-13;4631.0;126.30000000000018;4424.907708133642
2014-02-14;4498.7;-132.30000000000018;4414.870007919595
2014-02-15;4498.7;0.0;4402.129127549472
2014-02-16;4498.7;0.0;4389.059171953843
2014-02-17;4126.5;-372.1999999999998;4377.968940767133
2014-02-18;4325.0;198.5;4370.971106256751
2014-02-19;4549.3;224.30000000000018;4369.862935138893
2014-02-20;4426.0;-123.30000000000018;4376.025868490604
2014-02-21;4395.1;-30.899999999999636;4390.350577984499
2014-02-22;4395.1;0.0;4413.192914478316
2014-02-23;4395.1;0.0;4444.364465845205
2014-02-24;4345.5;-49.600000000000364;4483.159308510815
2014-02-25;4270.5;-75.0;4528.416090350219
2014-02-26;4333.4;62.899999999999636;4578.6119887677105
2014-02-27;4818.5;485.10000000000036;4631.9825490786225
2014-02-28;5010.7;192.19999999999982;4686.659142444881
2014-03-01;5010.7;0.0;4740.81400079024
2014-03-02;5010.7;0.0;4792.801671365866
2014-03-03;4718.2;-292.5;4841.285422796891
2014-03-04;4751.6;33.400000000000546;4885.337706190699
2014-03-05;4699.4;-52.20000000000073;4924.505244508437
2014-03-06;4736.6;37.20000000000073;4958.831643239884
2014-03-07;5020.3;283.6999999999998;4988.833478670328
2014-03-08;5020.3;0.0;5015.429465226497
2014-03-09;5020.3;0.0;5039.82631800541
2014-03-10;5020.3;0.0;5063.369049741324
2014-03-11;4908.9;-111.40000000000055;5087.367367597849
2014-03-12;5288.0;379.10000000000036;5112.9132217108245
2014-03-13;5158.9;-129.10000000000036;5140.707039599786
2014-03-14;5638.3;479.40000000000055;5170.91139596265
2014-03-15;5638.3;0.0;5203.05049083292
2014-03-16;5638.3;0.0;5235.971597075628
2014-03-17;5035.5;-602.8000000000002;5267.880478638345
2014-03-18;5140.1;104.60000000000036;5296.456742328493
2014-03-19;5218.8;78.69999999999982;5319.047457054252
2014-03-20;4982.6;-236.19999999999982;5332.928685609978
2014-03-21;4982.6;0.0;5335.6155891124
2014-03-22;4982.6;0.0;5325.1934380224175
2014-03-23;4982.6;0.0;5300.635262134067
2014-03-24;4982.6;0.0;5262.068057956083
2014-03-25;4982.6;0.0;5210.9493685146
2014-03-26;5042.5;59.899999999999636;5150.120295812857
2014-03-27;5286.7;244.19999999999982;5083.709820050951
2014-03-28;5477.8;191.10000000000036;5016.878383959292
2014-03-29;5477.8;0.0;4955.405190395639
2014-03-30;5477.8;0.0;4905.142144077119
2014-03-31;6250.2;772.3999999999996;4871.375977022365
2014-04-01;5007.6;-1242.5999999999995;4858.1566771500675
2014-04-02;5057.1;49.5;4867.662675103824
2014-04-03;4456.1;-601.0;4899.679325425843
2014-04-04;4586.1;130.0;4951.265512829799
2014-04-05;4586.1;0.0;5016.672914676913
2014-04-06;4586.1;0.0;5087.563655200485
2014-04-07;4676.8;90.69999999999982;5153.545888924176
2014-04-08;4789.4;112.59999999999945;5203.015314074646
2014-04-09;4806.0;16.600000000000364;5224.256632512724
2014-04-10;4735.9;-70.10000000000036;5206.726004331149
2014-04-11;4811.4;75.5;5142.407286733258
2014-04-12;4811.4;0.0;5027.114826337994
2014-04-13;4811.4;0.0;4861.606745682808
